Model,R2,RMSE,Observations,Predictors
Model 1 (Simple),0.0021097213707707008,0.8752845023265627,174,1
Model 2 (Full),0.15395142153417607,0.8059451629696562,174,5
Model 3 (Dynamic),0.6200059788805925,0.5401274195581826,174,10
